Date,Open,High,Low,Volume,Close,Adj Close
2011-04-28,5851.350098,5856.399902,5776.950195,0,5785.450195,5785.450195
2011-04-27,5884.200195,5892.350098,5819.950195,0,5833.899902,5833.899902
2011-04-26,5876.850098,5893.200195,5791.549805,0,5868.399902,5868.399902
2011-04-25,5859.600098,5906.600098,5857,0,5874.5,5874.5
2011-04-21,5882.850098,5912.899902,5864.350098,0,5884.700195,5884.700195
2011-04-20,5786.049805,5857.350098,5759.649902,0,5851.649902,5851.649902
2011-04-19,5716,5762.950195,5693.25,0,5740.75,5740.75
2011-04-18,5824.350098,5897.899902,5722.25,0,5729.100098,5729.100098
2011-04-15,5898.75,5907.350098,5806.450195,0,5824.549805,5824.549805
2011-04-14,5911.5,5911.5,5911.5,0,5911.5,5911.5
2011-04-13,5747.950195,5923.600098,5735.549805,0,5911.5,5911.5
2011-04-12,5785.700195,5785.700195,5785.700195,0,5785.700195,5785.700195
2011-04-11,5805.350098,5830.299805,5777.899902,0,5785.700195,5785.700195
2011-04-08,5886.75,5926.950195,5822,0,5842,5842
2011-04-07,5888.549805,5906.100098,5866.25,0,5885.700195,5885.700195
2011-04-06,5908,5944.450195,5868.799805,0,5891.75,5891.75
2011-04-05,5923.850098,5928.649902,5855.850098,0,5910.049805,5910.049805
2011-04-04,5842,5918.700195,5833.200195,0,5908.450195,5908.450195
2011-04-01,5835,5860.200195,5810.399902,0,5826.049805,5826.049805
2011-03-31,5803.049805,5872,5778.649902,0,5833.75,5833.75
2011-03-30,5755.799805,5803.149902,5753.899902,0,5787.649902,5787.649902
2011-03-29,5686.5,5770.350098,5680.700195,0,5736.350098,5736.350098
2011-03-28,5645.25,5709.100098,5643.200195,0,5687.25,5687.25
2011-03-25,5588.649902,5667.100098,5560.950195,0,5654.25,5654.25
2011-03-24,5501.799805,5529,5496.100098,0,5522.399902,5522.399902
2011-03-23,5411.399902,5484.950195,5401.950195,0,5480.25,5480.25
2011-03-22,5390.850098,5428.149902,5376.149902,0,5413.850098,5413.850098
2011-03-21,5408.75,5413.299805,5348.200195,0,5364.75,5364.75
2011-03-18,5475.350098,5483.049805,5366.399902,0,5373.700195,5373.700195
2011-03-17,5455.399902,5510.049805,5435.299805,0,5446.649902,5446.649902
2011-03-16,5475.950195,5535.100098,5475.950195,0,5511.149902,5511.149902
2011-03-15,5420,5497.850098,5373.649902,0,5449.649902,5449.649902
2011-03-14,5436.5,5537.299805,5434.25,0,5531.5,5531.5
2011-03-11,5456.149902,5502.700195,5411.549805,0,5445.450195,5445.450195
2011-03-10,5516.100098,5516.299805,5468.450195,0,5494.399902,5494.399902
2011-03-09,5542.399902,5563.299805,5477.450195,0,5531,5531
2011-03-08,5466.100098,5530.549805,5464.75,0,5520.799805,5520.799805
2011-03-07,5490.049805,5491.25,5408.450195,0,5463.149902,5463.149902
2011-03-04,5586.200195,5608.200195,5524.100098,0,5538.75,5538.75
2011-03-03,5478.450195,5570.75,5468.25,0,5536.200195,5536.200195
2011-03-02,5522.299805,5522.299805,5522.299805,0,5522.299805,5522.299805
2011-03-01,5382,5533.049805,5373.549805,0,5522.299805,5522.299805
2011-02-28,5330.149902,5477,5308.600098,0,5333.25,5333.25
2011-02-25,5321.049805,5338.200195,5232.75,0,5303.549805,5303.549805
2011-02-24,5408.75,5423.399902,5242.5,0,5262.700195,5262.700195
2011-02-23,5452.450195,5495.200195,5427.549805,0,5437.350098,5437.350098
2011-02-22,5504.399902,5519.450195,5437.299805,0,5469.200195,5469.200195
2011-02-21,5456.600098,5526.25,5413.100098,0,5518.600098,5518.600098
2011-02-18,5557.549805,5599.25,5441.950195,0,5458.950195,5458.950195
2011-02-17,5501.700195,5553,5463.399902,0,5546.450195,5546.450195
2011-02-16,5467.600098,5504.799805,5460.350098,0,5481.700195,5481.700195
2011-02-15,5467.75,5506.5,5408.350098,0,5481,5481
2011-02-14,5340.25,5463.799805,5340.25,0,5456,5456
2011-02-11,5219.649902,5319.450195,5177.700195,0,5310,5310
2011-02-10,5246.049805,5272.600098,5196.799805,0,5225.799805,5225.799805
2011-02-09,5293.049805,5339.450195,5225.649902,0,5253.549805,5253.549805
2011-02-08,5432.350098,5432.350098,5303.399902,0,5312.549805,5312.549805
2011-02-07,5430.149902,5440.350098,5376.950195,0,5396,5396
2011-02-04,5519.899902,5556.299805,5369.049805,0,5395.75,5395.75
2011-02-03,5430.450195,5532.649902,5418,0,5526.75,5526.75
2011-02-02,5469.549805,5490.600098,5415.649902,0,5432,5432
2011-02-01,5537.299805,5539.149902,5402,0,5417.200195,5417.200195
2011-01-31,5452.549805,5526.850098,5416.649902,0,5505.899902,5505.899902
2011-01-28,5614,5614.399902,5459.549805,0,5512.149902,5512.149902
2011-01-27,5725.299805,5726.100098,5594.950195,0,5604.299805,5604.299805
2011-01-26,5687.399902,5687.399902,5687.399902,0,5687.399902,5687.399902
2011-01-25,5763.299805,5801.549805,5680.649902,0,5687.399902,5687.399902
2011-01-24,5717.100098,5756,5697.75,0,5743.25,5743.25
2011-01-21,5692.049805,5717.549805,5674.5,0,5696.5,5696.5
2011-01-20,5656,5729.450195,5634.5,0,5711.600098,5711.600098
2011-01-19,5737.350098,5747.649902,5662.549805,0,5691.049805,5691.049805
2011-01-18,5682.549805,5730.5,5671.25,0,5724.049805,5724.049805
2011-01-17,5648.799805,5696.149902,5624.149902,0,5654.75,5654.75
2011-01-14,5752.100098,5833.649902,5639.649902,0,5654.549805,5654.549805
2011-01-13,5850.75,5857.75,5736.700195,0,5751.899902,5751.899902
2011-01-12,5800.049805,5874.200195,5711.299805,0,5863.25,5863.25
2011-01-11,5767.950195,5842.600098,5698.200195,0,5754.100098,5754.100098
2011-01-10,5901.299805,5907.25,5740.950195,0,5762.850098,5762.850098
2011-01-07,6030.899902,6051.200195,5883.600098,0,5904.600098,5904.600098
2011-01-06,6107,6116.149902,6022.299805,0,6048.25,6048.25
2011-01-05,6141.350098,6141.350098,6062.350098,0,6079.799805,6079.799805
2011-01-04,6172.75,6181.049805,6124.399902,0,6146.350098,6146.350098
2011-01-03,6177.450195,6178.549805,6147.200195,0,6157.600098,6157.600098
2010-12-31,6105.100098,6147.299805,6103.549805,0,6134.5,6134.5
2010-12-30,6062.350098,6106.399902,6062.350098,0,6101.850098,6101.850098
2010-12-29,6005.149902,6067.549805,6002.850098,0,6060.350098,6060.350098
2010-12-28,6005.350098,6010.899902,5982.25,0,5996,5996
2010-12-27,6013.299805,6045.75,5991.100098,0,5998.100098,5998.100098
2010-12-24,5940.25,6017.350098,5940.25,0,6011.600098,6011.600098
2010-12-23,6005.899902,6006.450195,5964.600098,0,5980,5980
2010-12-22,6019,6023.799805,5958,0,5984.399902,5984.399902
2010-12-21,5960.399902,6007.450195,5960.049805,0,6000.649902,6000.649902
2010-12-20,5926.850098,5985,5900.25,0,5947.049805,5947.049805
2010-12-17,5948.75,5948.75,5948.75,0,5948.75,5948.75
2010-12-16,5910.549805,5956.149902,5855.049805,0,5948.75,5948.75
